Emotion,Text
fear,shine confront reject itdeni itmock itcondemn itdemon telleral
joy,woke cant rememb whenhow fell asleep
joy,chill cousin harlem go queen later thanksgiv feast im great mood right
fear,je nai jamai aussi la bourr pour crire une plaidoiri
surprise,brother got parent anniv gift hid pillow
joy,pass exam expect pass
joy,readi long nap anoth round stuf face
joy,burnt finger plu studi final
joy,anoth long day anoth tomorrow
disgust,hate peopl crusti nasti lip
joy,week school left christma
sadness,felt sad thief stole cloth friend cupboard school board
joy,yasss mum came advent calendar
anger,mailroom kind crazi today
anger,lieutenantgovernor rememb flee statehous fire escap avoid senat anger choic committe assign
sadness,sad mce grade gone footbal match mile away home mail found disappoint didnt play half match
surprise,morgen kopen met hele famili voor oma verjaardagl en nog ergen een keertj leren ofzo
joy,bodyproud person mantra empow peopl global turn
surprise,havent told dad extra guest dinner thursday yet
surprise,found herb pocket day
joy,pass drive test second tri
neutral,use one though start use bicycl get around found didnt realli need
fear,saw movi poltergist
surprise,cant sleep mess didnt say home weekend
surprise,girl kept tellin u never surpris surpris introduc side chick oop
sadness,wish could tweet im feelingsummari
joy,one year old son give spontan kiss
anger,jim steakout til need come fake boyfriend name keep creep away lolz
joy,love aldi advert jack xma fair today tat crap hous
surprise,knew downtown upland could much fun
joy,day till summer break
anger,other let fail keep agreement
surprise,walk boss offic ask question got wendi burger
surprise,stuur een voor dec naar sintnl en win een op nradionl en luister vanaf uur naar dj marienmarion
disgust,school food letdown
surprise,bought christma gift yesterday stand right besid otherlol
disgust,isnt shame use vulgar languag steep belt flirt tacticshumour breach age
surprise,kill spider put sister bed
fear,girlfriend refus stop rest stop
fear,stay room alon night
anger,feel like punch boss face time choke
joy,happi mother day mom
fear,rememb serv pork today see one friendsfamili avoid theyr probabl muslim terrorist report
anger,turn livid stubbl face crowd
joy,karaok night applebe work till
sadness,belov grandfath die
sadness,hate twitter doesnt allow enough charact meaning tweet
neutral,call comput free
joy,mani wonder peopl flood sak motion gala love touch mani
anger,michel rais head tess shoulder resent word muffl
joy,one year stay abroad return home even glad see much famili pleas see
fear,would rather live heart head
joy,let hav convo twitter twitter joe dnt u want celebr n spread news
joy,yey there bone app quickli follow find avail uk
sadness,llore pero de risa mi hermana confia en mi yo tanto q la quiero pero
anger,cant find armour go run
joy,kd lang drive home got seriou bargain today
joy,broke version fistpump parent reminisc daddi use danc
sadness,bore ugli day take lazi sunday extrem worst part far away
anger,bellla player want jacob edward pick one greedi fool cant kiss gr
joy,ouch hope feel better soon pray whip dinner date elipt
sadness,took alot say hi wave smile face meh know dont care end wave rail post
neutral,ive tri cant stand bald man talk loudli program
sadness,documentari babi fur seal club spike death canadian sealhunt brutal graphic b descript disfigur orphan child hiroshima call mother
joy,gucci idea want see movi togeth
joy,beauti day celebr familymi cup overflow
joy,plan rise n shine n give god glori
sadness,father hugh mcalees said devast intend restor church former glori
surprise,mommi doesnt know yet im comin home today instead tomorrow
fear,friend plan search old document utensil cellar late night arriv cellar indic place polic year ago found two dead bodi got scare told stori
anger,ive got n make angri dnt know wat wrong wit get angri nd moodi reason need help
fear,irdk got bent shape probabl caus ive stab back your gon na
fear,student fear mani thing seem fear examin rememb horror stricken microbiolog exam decis one
fear,come way hope life gear end world doom day
joy,antijoy protestor forc back joy protestor fierc rivalri joy protestor
anger,call duti bring peopl
surprise,appar phil take town tomorrow night pghto eat somewher special havent figur
sadness,oh im afraid ill busi tomorrow even
fear,king univers popular owe throne assassin must sensit issu mayb sometim nervou join larg assembl arm men
surprise,al je rug vast zit kun je haar misschien nog leuk kerstsurpris gaan brengen
anger,got remind get work hour feel come soon
joy,friend miss much came see unexpectedli
joy,final got red velvet cake
neutral,tell like
fear,listen parent playground formal event parent even alert staff earli stage parent disquiet
anger,ever unhealthi fast food pizza fri burger hot dog start eat better
fear,still realist song ever made way explicit fake
sadness,wan na go golf wang shop bad
joy,sun shin im stuck insid ahahah p go come festiv next week
fear,simpli could understand peopl england worri
surprise,ik heb ook miss pakken chocola thui en kg pepernoten maar ik mag er nieet aan zitten xd
fear,mine becom famou past come back haunt badli
anger,r u call obama slick talker he slick teleprompt reader even show
sadness,decemb event fill calendar fast amaz start nowif could updat dang site
joy,heard beauti sound carol sing outsid window
sadness,feel tire time even wake morn find difficult work appetit
sadness,kansa st trend nationwid bad didnt win
neutral,parent usual give children freedom countri sometim give much freedom
sadness,call fat horribl fair
disgust,accident allow skink lick tongu mimick way close face
fear,clarifi win game terror war america terror like fuck one still plenti
joy,highlight holiday far pumpkin pie whip cream play word friend boyfriend mom
anger,get angri smaller brother misbehav talk indec word
surprise,made night awesom
fear,drive back sa think gp taken mexican side austin
joy,work women basketbal game
disgust,hate crazi ex like real dude shoot year
joy,christma shop tkmax deck hall play background
fear,dam lake water let flow water plant two boy near water pit rescu thank flipper tyre us
joy,tri write paper midsumm night dream good thing dont understand play
joy,momma sarah meal gurli dont wan na leav stay ill lb christma
joy,famili outing doctor today
surprise,astonish eye take costum goldembroid satin jacket knee breech jabot eighteenth centuri
surprise,great live perform kati perri
sadness,sad miss bowl migrain
surprise,eye flare astonish face
anger,felt anger end telephon call good friend told would go travel next year anoth good friend couldnt talk
fear,stand awe mountain situat stand awe conquer
sadness,see add album tv know dont get till christma
neutral,critic happi movi made recent bother
sadness,someth aw happen went portobello road someon stole handbag
joy,satisfactori result recentlycomplet univers subject commun phone
surprise,got offbout go home chang cloth go bitch babi shower sound happi lol
joy,golden nugget rememb last night key tell tech stop collabor listen start play wrong vid
anger,father get back chipata time thu hold back progress everyth depend felt angri action
neutral,simpl men shake hand women children
joy,feel bad cousin
sadness,realli hate box store rememb home town annihil wal mart
sadness,sometim experi sad sport high school unreal dream sport anyway spent six year life
surprise,girl look startl
joy,left homework today
anger,unbeliv annoyingi cant tell class lag mous playingawweagblherh flawfweb
sadness,griefstricken widow refus leav dead husband side even crawl bed vain attempt infect diseas
sadness,earliest sparkl wine undoubtedli discov accid probabl trial error method employ anguish winemak iron tri avoid nuisanc fizzi wine
sadness,craig mabbitt idol ruin escap fate
surprise,great day famili friend
sadness,got event invit last thirsti thursday anni till reopen next year
joy,true michel lot like henri mani way shi new peopl like
anger,rt patient one moment anger escap hundr day sorrow
surprise,yesterday fun day didnt expect
joy,ah dont love right someth wish wrong
joy,im fnna irrit fuck week
fear,your get inform websit run te approv corpor probabl wrong peopl
surprise,omkleden en zometeen gourmett en lekker drankj doen en alvast mybirthday vieren
sadness,im sorri think skirt color want call anoth one store see avail
anger,wit end say airport manag caus consider upset annoy ladi own number publish
sadness,watch last week episod end made cri
anger,moment realiz left bu pass ltc help kid
disgust,gag mouth mouth littl see
fear,saw wind boister afraid begin sink cri say lord save matthew
sadness,blehh wana go day rememb concert
anger,bu conductor insult buy ticket forgot
fear,pleasur help
joy,final finish page help watch movi peac
sadness,felt anguish tear motherhood blur vision blink away
joy,happi holiday may rain flood insid outsid mighti
joy,play boy tonight instead go yoga ab homework
anger,nt know better would said cross
fear,mr hamilton said deepli concern told shall ask immedi step taken normal decenc observ
surprise,thank hack emma dont mono everyon
joy,let get day go home studi
surprise,zo naar sacha lekker shoarma eten en daarna taart cake en koekj bakken voor morgen avond
neutral,mean got work experi right
joy,espanol filsan lee rpac hot second date ellipt
disgust,um know feel bro late last night drink thought gon na die
surprise,shadow minist behav move whitehal look stun shatter
neutral,engag
fear,cross street nearli trampl car
anger,friend promis call certain time expect call impati vain
joy,redd holiday cup starbuck make happi small thing tend make smile winterchristma
joy,tango
joy,decemb tomorrow mean get open christma calendar listen christma song
sadness,person like left friend mine sever month mutual help profound knowledg
disgust,fk ugli chick look like littl boy wouldnt mess w anyway
anger,mean daddi gave car birthday last month brand new
sadness,dont worri im good carless
joy,finish work homework
sadness,dolor felt glum sight
joy,news complet forgot famili pictur today
joy,ayeeee day hour minut second christma
joy,start long car ride north carolina thanksgiv traffic
sadness,hear death grandfath first could believ later wept felt situat hopeless felt lone want consol
joy,knacker next prep tomorrow
disgust,yuck twitter dont need know period life maam
joy,soro run liber press
joy,head back school
sadness,auto grt b frobe without miss buddi
anger,ive enough
sadness,look disconsol
joy,guy caus tear tear
fear,saw horror film
joy,goedemorgen al barney zo afgelopen gaat dochter bad en dan moet ik even boodschappenlijstj maken
sadness,alway wan na look tumblr work mani nake bodi part dashboard seem inappropri
joy,surviv holiday livethru instead connect love one practic gratitud experi joy
sadness,back everyth turn shit broke leg minut ago he tricki skateboard
sadness,miss thing dont play trumpet anymoreim sing
anger,hate phone doesnt charg agh
joy,one week rise think
joy,get readi physic therapi
sadness,mother die month later heartbroken loss mate
sadness,even juwan howard grant hill rt shaq retir activ nba player dunk antoin carr
neutral,first move walk everywher within week purs stolen block away polic station alway take public transport
fear,event rememb nightmar young year old dreamt machin go crush
shame,embarrass said dave
anger,laptop cheap piec shit hole dont work properli dumb junki fuck head
surprise,hmm dont hate finn voic last song
fear,begin journey car acquaint mine
sadness,think va tech anoth shoot happen today
joy,mid term review everi singl class
fear,mme pour un vieux film rien que le trailer russi dgoter et jai mme pa pu le regard en entier
joy,recent got posit answer clinic tell would willingli assist collect data clinic pilot studi
neutral,dad
surprise,that bullshit rt walk last day class find quiz
anger,peopl big mouth keep name outta mouth ughhh
neutral,get lone
neutral,said get rid stolen
joy,hot chocol morn
joy,joy draw water well salvat
surprise,forgot tell chang hairstyl came home shorter darker hair
sadness,im sorri sent sever messag explain mom serious ill look afer
sadness,brian davi also near coventri enter immens pumpkin marrow seem mourn
disgust,ttk rt check lol rt rt im tryna get insid black girl tho
anger,rumour anger among grain farmer given iou instead cash crop
joy,drive school hour
anger,chang offic anoth room without agreement
joy,feelin good w l td pick got dog walk w l smh morrow monop weekend
surprise,white bulli tomorrow surpris
sadness,better take time oh busi life make time
joy,appreci thank
joy,ye pacifist famili full
anger,earth heart thump bodi drown wave heat could stay angri
anger,nt seem offend nt exactli appear contrit
fear,ashley recoil horror
fear,proud rowan william anglican church moral freedom show social compass without constraint
fear,tattoo tear dey eyeslol nigga u kill must b fa lol
anger,annoy fuck av seen time munter hadnt even heard till last year bought al ticket
disgust,western part countri disgruntl mr kohl mean gruntlement social democrat
anger,much homework examin know organ work
joy,bit time get root sort tonightso match colour rest hair
disgust,fuckin hate shadi ass bitch
anger,famili found abandon puppi want help everyon said left
joy,first heard like boyfriend
joy,beach mission meet morn follow coffe love rachel kay rest head hang beth king
joy,girl love smile
joy,want go malibu
sadness,write xma card got friend lost lifelong partner year
sadness,mina would get realli excit play mario kartbut sam wont go ask ryan
sadness,booster juic campu
sadness,friend argu sad want lose friend
joy,earli duck hunt massiv deer run field go duck hunt
surprise,saw break dawn yesterday pretti good actual
joy,heard someon close well exam despit fool around lot
sadness,meno due puntat alla fine di twohalfmen loriginal come fare senza charli dopo
fear,fear alway haunt hope alway conquer
surprise,thank guy littl slowdown due holiday wing st
fear,manipul one must master cuz make us decid
anger,peopl make blood boil ughhh
surprise,hein quoi rendez vou chez la boutiqu de scoot pour poser un coffr h un samediiii mai vou te cingl je dor quand
fear,exam final take
sadness,second depress moment rt tweet followin yet follow
surprise,mom told bring everyth want christma comput order onlinesh call lazi
surprise,en rout scarborough surpris parti convinc cover stori
anger,say payin somethin mind better choic shit begg differ ignorin make wors make u wan na fight
joy,great idea peter could use drink
joy,thing make smile kid giggl wholeheart laugh friend lover shine love
joy,phone greatbritain tell could go wish summer
fear,ye sir afraid tomorrow seen yesterday love today
joy,joy heard pass standard exam day heard news day celebr birthday
disgust,find yo panti laundri basket skid mark insid that
joy,time floor meet
surprise,rt want let parent know your gay tell christma dinner
sadness,went use headphon rememb dont work
fear,act barrier slave thing forbidden allahif fear excess may turn despair pessim
fear,colleg start discuss teacher refer question pose felt unsur afraid fail
disgust,time colleg west come conclus asian like includ mold diet
joy,come home exam suppos pass ran restaur beer
surprise,wow that long ass timert one sinc rt your vegan
sadness,cain wife didnt know he give mistress money year friend yup
joy,done test week two paper write tonight
fear,seem sky fall much rain lightn never seen mani one night oo
sadness,yet sorrow leibnitz needlessli destroy describ natur feel human man
sadness,would like play wife wont stop play forev
joy,well like collect matchbox im sure count though
joy,power tool come hip gunsling style british ga portray content famili enjoy warm glow new central heat
sadness,cant sleep n im tire play dress
joy,week go suck complet utterli suck
sadness,talk sad departur guilt arriv
sadness,sound like fun btw cant wait hear sing amaz voic
joy,hey wouldnt great could go thailand togeth sometim
joy,hmmm anoth free period homework either
sadness,hate hard love
joy,wish someon famili come c hot chocol nutcrack oh well grful danc academi fam
anger,comput isnt load anoth page except twitter
fear,mga ti walang kupa ang pagka pick materi sa ok grabe na gyud ni chang territori lang
fear,fear loss close friend feel ground slip feet
fear,nearli attack man chase
sadness,goin mall cousin caus mother wont take c
fear,care other concern countri futur
anger,realli like hear talk
fear,could well becom agit dispers pigeon turn head toward light bark heatedli roadwork
joy,young lord overjoy see beauti wife friend found
sadness,broke glass tape suck
joy,sittin xma tree cup hot cocoa blanket wrap around teddi bear
fear,bird made nest thatch roof fli flap wing bedroom night dark could even see nose know bird till mother told
joy,omw back home walk
sadness,sorri sir doubl tabl left
sadness,keep look phone wait txt even tho know wont get one
sadness,knew almost day two great friend mine seriou existenti crisi mainli notic im situat didnt realiz
anger,day slap liam across face got mad complain
sadness,im gon na miss black friday commerci
joy,make final exam abl pass biolog look like studi everi day till next wednesday
joy,hope next year bring good well
surprise,random dog ran hous name sheela hahahahaha
joy,one thanksgiv dinner next turkey
joy,kapow word today break walk spirit experi kingdom
joy,never heard back group member meansim go code page didnt send
joy,hearti greet friend wish wave even
sadness,got mathemat test mark could believ true past would least mark get weaker studi made feel expect much go univers
surprise,realli concept memphian dont understand
joy,itchi eye sore throat sore muscl dizzi plan saturday
joy,delight cheer optimist
anger,rest get fustrat fight night champion lock quick b losin
fear,worri certain ill
fear,walk back ga station faisal saw dog without leash freak hell
fear,one night sleep woke suddenli sensat someon room
surprise,yayayayay let go jet cant wait game your gon na love stadium biggest nfl
sadness,didnt time watch weekend
anger,danger work hate three field worker trap behind tree enrag eleph tranquillis dart miss target
joy,yay chick fe lay sweet tea
fear,apocalypto movi never get old simpl classic stori
joy,hour drive bu
sadness,damn wan na leav right sadli two guy board arent realli respond
anger,theyr play manchest orchestra actshey allston pud realli would like go concert
joy,got lot peopl build today
joy,accept medic school medicin profess desir ever sinc childhood
joy,fuck love divis
surprise,sleep eat homework oh cheer
fear,scari moment spider wall second ago isnt anymor
sadness,refus may feel sadden disappoint inconvenienc selfconcept nt shatter
fear,et mont trouv sur la photo de e donc la meme tete quen e
joy,problem tutor tri encourag divers work experi style quit happi direct work head stubbornli stuck
neutral,exactli twelv minut past seven
joy,heard pass final examin school success
fear,listen bodi wise arous feel fear releas
surprise,digit music sale exclud itun sold amazon nonipod mp player owner buy amazon mp
fear,awesom time fight fear premir last night leicest squar check hd trailer facebook page
anger,began feel exasper
anger,rebel want govern recogn legitim forc chang mif bill refer vagu term dissent group chiapa
fear,tlord tbegin precept hv good understand belong ps
surprise,ik heb nog wel wat stukj uni geel en zwart liggen maar niet zo veel geloof ik wat ben je van plan
joy,happi get
anger,punch yall throat would feel great right
anger,last night mr smith said mad programm especi barth
joy,finish school project even abl add touch get let see english
joy,tempt glimps becom excit design angri failur meet high standard
anger,miss opportun go abroad silli mistak suffer lot
fear,attent time everyon get line tomorrow
joy,high level result declar found candidatur number happi expect injur examin perform poorli
joy,raw product alway final product
surprise,wag nang wish list unwish list nalang para hindi na madagdagan yung mga photo frame figurin namin sa bahay
sadness,psyc midterm today feel like im gon na bomb
sadness,mai mai ta jack pour le sourcil ou pingu je vai tre oblig de foutr de ta gueul mainten
joy,mock improvis workshop assess
joy,christma day church famili highlight
joy,room arguabl done time chemistri
joy,get littl girl daddi god get focu u put u st focus u burden
sadness,think probabl never genuin contact parent
surprise,organisati voor de sintfeesten volgend weekend geregeld nu nog inspirati en vele gedichten schrijven
joy,cold makeup hair bung well today go fun
anger,initi anger find latest two victim insan killer bloodlust blaze allconsum hatr man done
neutral,hold success right away
sadness,friend left tomorrow birthday
joy,liter hate everyth work right hour
fear,hate day go messag god pleas keep soldier safe
anger,ask indign august
surprise,jealou got ticket game wish elig sinc might come back saturday
joy,god make happyso wan na make happi lord like uand want like u
anger,blackey end trail ever thinner line puzzl viewer exasper critic nag question went wrong
anger,surpris anger edouard evapor
anger,boss breath neck day cant wait weekend
sadness,oh sad
surprise,gon na late work lol surpris
disgust,nell swallow revuls word normal
surprise,good start day
joy,im bout crush like shit mane
sadness,finish life yearold dog
anger,damn ive bought lot suddenli amazon japan longer ship norway also pay x amount ebay
disgust,much steeler stand big ben
joy,son daughter fill see come home uni work make happi im proud mum xx
fear,know finish book get idea much excit
joy,gon na long day start take mom doctor
joy,prepar stuff decemb special thing
joy,today go long day
fear,paranoid paranoid cautiou see dan guard time peopl invad privaci knew telemarket solicitor even bank way much inform like keep everyth need know basi
joy,anyon recommend good christma tree deliveri servic bluebrown line dont car still want spread
joy,watch dog rip open present jump around mountain paper search treat
anger,swear peopl piss everi day
joy,dive among shark brightli colour fish outer reef tvavni fidgi
joy,excit bell ring today
joy,there first time everyth tomorrow root canal treatment
anger,stop teacher doesnt treat differ everyon els
joy,love nice cold glass chocol milk right
anger,talk teacher yesterday say least rude unwis irrelev opinion friend
joy,would love hear bird sing feel fresh breez face wind blow citi get dust mouth eye
sadness,clear pictur sad lone man deepli concern health dwell futur seem promis fairli rapid declin senil
joy,fashion show noon
fear,bob would like head come saturday morn
joy,excit day christma
surprise,love show class find test
surprise,due fact dad stalk bank account probabl know get christma
fear,nyc terror plot foil yesterday wait prime time sunday announc yeah right
joy,french roast cup joe
surprise,yeh cup carelookit emptywhat
joy,basketbal practic monday morn dad
sadness,tristissima news brandon stato uno dei miei eroi blazer senza roy non riesco nemmeno ad immaginarm
surprise,boy bow enjoy astonish way enjoy applaus tang earlier day play tsu tiao
surprise,got letter cincinnati expect ask hell transcript areand accept letter
joy,mehh get watch video legal nurs home staff oh
anger,emot came certain boy open locker without knowledg
sadness,courseth one weekend spend write import paperther asu game andmor importantlyharri potter weekend
anger,today oxford univers sport director furiou exclus
anger,took hand away still say noth felt slightli hurt resent
joy,nice hot bath plenti love bodi shop goodi relax unwind heaven plu quiet min
joy,hour procrastin im final go back due west
joy,london irish women centr pleas announc irish languag class adult continu siobhan ni neill friday start feb
joy,listen rosi christma love cdgettg holiday spirit love urself merri lilchristma bjoel
fear,came know exam two success day littl time hour studi
sadness,sorri mustnt stop
joy,way dog look bring remind love pet even theyr ill watch
anger,miss boyfriend even hate come home late miss chanc see even talk phone
joy,final chang instead watch multipl golf gamesi get watch ncaa game night
joy,ye see summer heat winter cold still far away
joy,definit love cum home walk straight hous full rabbit poo newbi yet hous train
anger,friend tortur anim
joy,wonder moment mention sarah palin pass actual think rememb
sadness,endil felt realli depress
sadness,tartan armi drown sorrow bar soho frank prefer candlelit dinner
sadness,though ive never wish enter two singl day worth felt societi
joy,pull im pregnant addict anyth jail pretti well lectur
anger,posit correl neg correl give rat ass
sadness,miss worthington often felt would unendur sorrow parent live wit extent deterior
sadness,rip ryan dunn gift earth miss everyday
joy,ergh think hangov offici set time write chemistri essay
surprise,footbal sport person year top
joy,get catch third period blackhawk game
anger,treat unfairli hurt someon love
surprise,mental ur first time dinna sit near half way that ultra sit alway
sadness,heard women depress spend th birthday incommunicado mini nervou breakdown bed
joy,appar skipper land felt extrem pleas threw enorm buck twist
disgust,ew go feel awkward sit next someon dont like
neutral,mayb ill ask mother
fear,time came see dead bodi oper
joy,seed carrier love beauti pohiva fli state month
sadness,grandfath die close relationship
surprise,van mijn broer kreeg ik een bevroren pizza
joy,super grate da bless day da one come thank god uve done heart
fear,continu disquiet way industri run member express disquiet question fit person appoint govern run
neutral,john prison cop outsteal
joy,shower time ta clean
sadness,id like take time exprass sad topic
joy,forgotten much love read sad read basic major read fall asleep tonight
joy,inexpres joy even though trial faith test proven genuin peter
sadness,catherin look downcast mcleish felt uneasi
anger,felt angri motherinlaw handl daughter properli fell bed hurt head
joy,mile run count hurt love
joy,situat colleg life anoth month
joy,oh work till midnight
joy,work gap today p
joy,dayi dayredeem bless highli favor proverb womani amaz bc
anger,dont know ask
fear,told form five result
surprise,thanksgiv havent told fam homi im wrkin tomorrow
fear,never make see son daughter get marri first babi that one greatest fear
anger,trust cant even handl simpl plane reserv
joy,feel like winter break alreadi start
sadness,fill linger well leav feel one day
sadness,break news joe paterno treatabl form lung cancer much wors get joepa
fear,frighten time could tell girl frighten quick shallow breath
fear,hope isnt one forev thingsit funni money chang everyth
joy,right christma tree day
fear,hear shit disturb cat make nois downstair fear wors
joy,brother drive school today
sadness,son drove tree
fear,love turn n hate turn
joy,timothi let depis u youth set believ exampl n speech n conduct n love n faith n puriti
sadness,didnt talk whole day today
sadness,could see sorrow dark eye glow candl burn behind
joy,got sit van morn babysit contractor carri test compass calibr base
anger,son realli taken never keep mischief
joy,come worship w us morn two week today talk
sadness,feel bad put stori websit peopl go get mad
sadness,far long expect us fan wait whole year
disgust,damn need car bad hate smell person bodi odor
sadness,bad leather store nearbi
sadness,made highland refer last night one black guy parti one person got
joy,sub english read stori kill dinosaur
disgust,lord beddington somewhat disgruntl
anger,day two owner becam irk went airport inspect plane
sadness,question centuri mcdonald stop make breakfast
joy,hous sod tip look like ill spend afternoon clean bastard kitchen
fear,went prayer meet night unfortun car broke sister said walk alon ndirand chirimba around midnight reach home afraid robber dard
sadness,gabriel forgot sad saw bitter deep despair farmer face
joy,minut sir wilfrid return look excit
anger,angri class hypocrisi establish
surprise,even wezen shoppen voor een stout cadeau wat een action nu nog een en een
surprise,wat druk allema wel weer twitter bijgewerkt zo verder gaan aan en hopelijk nog ff rusten op de bank
anger,old ladi slip nobodi help
sadness,play stupid game like ever die right pass
fear,cycl countri came across larg herd cow
sadness,gobbl bird one go said mourn birdwatch yesterday
joy,good idea thank billion
joy,snow day tree decor christma tune dozen candi cane egg nog good mood feel like christma alreadi
sadness,said bye girl wont see next august spend month mentor
sadness,want love wont accept love
joy,exam nxt week back full time work
joy,seven year old advent calendar joke behind door bring tell joke day
sadness,love danc cant make better move
surprise,hope love day enjoy
joy,best part twitter feed updat god justic brought world
fear,deep get frighten
joy,day christma parti day biggest spot face
joy,spend day stuf spend qualiti time famili
anger,gun id shoot foot back
joy,enjoy drunk annoy scream ear slutti retard dumb ass haggard look girl bar
surprise,depress bewild inexplic impair abil think concentr soon guess paralysi clumsi would make alway depend wheelchair
sadness,guess say im offici singl
surprise,figur that talk bout blanket n shit ps im stow away suitcas trip
sadness,grandfath die live almost reclus care well dad help much could didnt save unexpect death second de facto wife lucki wasnt jail
joy,group meet hour earli cant wait present today rid bitch
surprise,tear rage despair shed snp worker voter stun
joy,offic bubl countdown he gon na sing live radio
surprise,procrastin view review kindl reader suit special someon christma gift shhh
sadness,alreadi mad tomorrow go suck
joy,wish could sleep day oh wait ton homework work till
joy,receiv promot letter
surprise,driver today get give say hello paul
joy,marathon stop make je watch u there laundri
sadness,hate hate hate go bed alon wake alon
joy,thank youyou partial
neutral,good tell truth wear perfum
joy,select come
sadness,friend mine told boyfriend anoth girl summer go togeth four year done last three month could believ
joy,st birthday celebr cut cake receiv present
sadness,im sorri compani open alway mani thing handl know
sadness,seem strang buri
sadness,one day lord hunt fox said friend happi content master sometim seem rather sad downcast
joy,long forgot real life thanx
fear,wait result high level examin afraid accept
surprise,georg knew bit nonpluss eager social life
sadness,feel sad mari gone
fear,behind front door hover small wiri man appear greatli agit whose polish bald head flush sweat profus spite cold
surprise,na ze keer een stanley me mn oog tape aan mn sokken en ruzi met isol materia ben ik dan eindelijk klaar
joy,makeup work studi retak geometri test plan weekend
anger,got go sleep night good
joy,love frenz cuz give deer meat dog underappreci giggl inappropri joke
anger,oh john thought said would start eat right rememb new healthi lifestyl junk food
joy,holiday white sand desert beach cool even near end summer fire sand toast marshmellow cuddl drank champagn
joy,happi im tomorrow nice lay hardcor psycholog revos
joy,recurr lovesick
sadness,miss alway busi w work ish doesnt time anymor
sadness,know im look like great guy met back home except he lighter
joy,goodmorn sunshin readi play softbal
sadness,lmfao real talk rt tell barber nah im wait cut hair watch express face
disgust,know usual feel wolf whistl flatter two old fat guy feel like wave
joy,essay done dust time move research pathway
joy,mmmmmm think mother natur come
neutral,hear bought new hous northern suburb
anger,present boyfriend mother approach parent self leav son alon want futur daughterinlaw
joy,ta vote confid absolut fine today even min earlyforens bioscienc tomorrow
anger,isnt anyth sound fishi
anger,anger men inabl human men
joy,great there ice road
joy,prolli star gettin readi work shift
joy,ye wife come get
joy,earli morn meet back spasm
surprise,properli go somewher adventur watch one love haha
joy,littl run rain lunch
sadness,told good friend couldnt friend relationship anoth girl
joy,lay bathroom floor feel like im go throw
joy,nt sound pleas someth made two
disgust,end anoth marvel day paradis everyday progress better last
surprise,jk nap found project due minut forgot
anger,felt rather rile
joy,dri day would bring bigger crowd add excit vital third round tournament
sadness,tradit attitud prevail quarter
surprise,tad bit sad last poetri class crazi folk woulda thunk
surprise,hah thank cate read envis walk around noodl fli nowher
surprise,found stuf snowman hidden bed thank yo
joy,sew til cow come home
disgust,suit mate shit smell wors
joy,liter havent seen sun week final come
joy,spend beauti afternoon write colleg paper
surprise,forgot yesterday pay day
joy,word vocab test tomorrow
fear,littl sister sick home thought would die
joy,instead cri stormlearn danc rain
sadness,daddi birthday havent seen day
fear,child hid sheet fear dark
surprise,wow alreadi absolut didnt expect happen thank share
fear,drive car misti night alon car felt total insecur nervou overstrain
surprise,idea uncl came town hawaii surpris
anger,obvious unjustli treat possibl elucid
sadness,peopl fall asleep your text
shame,mani solicitor never overcom embarrass amount charg though go lower fee
joy,biscuit use coupl tea towel went paper work
surprise,got car morn chickfila wait
sadness,let see sorri tabl
joy,poor soul ive clean get put christma decor
sadness,feel like death glad film good annoy bodi ill couldnt go
sadness,us
anger,also arous protest anger dr runci time becom involv row attack pharise british societi
joy,wall build around us keep sad also keep joy give
joy,never know what behind person smile spite see im go im bless smile
sadness,bore peopl stop respond
surprise,coo ill head ur drive btw
joy,yeah got home mall guess ill get hour sleep mom wake
joy,rememb make cooki browni self esteem class tomorrow
joy,today wonder day
sadness,bring debat ecuador coffe promis there none
fear,left alon dine hall night
sadness,pleas accept deep apolog
sadness,kept tri get back lugubri face reclin moros good hand guest fill air around cultiv nois
joy,day quit happi travel trolley
anger,wive still bitterli resent fact husband seem realis need leisur
fear,fall climb almost previou experi
joy,graduat exam wait get admit post graduat cours howev situat favour upset suddenli bombay univers offer seat land bombay post graduat studi happen last year pleasant
joy,day hand oh god whheww song
neutral,dude equivoc theori becom theori withstand rigor test slept class
anger,tailor ran away skirt
anger,anger intoler twin enemi correct understand
anger,hurri get lectur car would start
fear,desk last week work go hell earth
anger,show cost three dollar isnt free food food includ three dollar ticket price jesu
surprise,ohh dayummnnn got eye set one sexi man
joy,strong lord power might put whole armor god eph
joy,full cold feel rotten lemsip bare touch skanki also yr old parti look forward
sadness,forgiv miss kyte said ladi softli look quit downcast
anger,agre angri bird exactli describ
sadness,damn b ball trip isnt gon na without
fear,hitchhik went man drive like madman
neutral,sure join
joy,happi come goesbut joy lord strength alway remain
anger,work hard vacat rais money major item eg radio arriv interc bu termin hard earn money stolen
joy,true wonder advanc peopl transform wilder home men women live comfort elegantli happili content disposit
joy,cousin arriv dan jour et grand mere dan
joy,well got dark quick im glad rain though
fear,love perfect love casteth fear
joy,hope everyon decor balconi final judg tuesday facebook stop
joy,sure promis promis
joy,kristin look like im crazi im happi food bring
sadness,guy street mug
sadness,experienc emot grandfath pass away
joy,get univers medicin
joy,mother sister think old time childhood happi time
surprise,talk mama actual made feel better lol
sadness,look littl crestfallen
joy,im great mood day see feel free give highfiv know wont leav ya hangin
surprise,awkward moment seem like easton bu rare us
